Year,Month,rate_display_pct,virus,branch,phase
2022,8,1.2522361359570662,ADV,minimal_corrected,phase2
2022,9,0.4830917874396135,ADV,minimal_corrected,phase2
2022,10,3.2188841201716736,ADV,minimal_corrected,phase2
2022,11,3.070175438596491,ADV,minimal_corrected,phase2
2022,12,2.090032154340836,ADV,minimal_corrected,phase2
2023,1,0.9174311926605504,ADV,minimal_corrected,phase2
2023,2,2.092050209205021,ADV,minimal_corrected,phase2
2023,3,1.005586592178771,ADV,minimal_corrected,phase2
2023,4,1.768172888015717,ADV,minimal_corrected,phase2
2023,5,2.0029673590504453,ADV,minimal_corrected,phase2
2023,6,3.3639143730886847,ADV,minimal_corrected,phase2
2023,7,4.651162790697675,ADV,minimal_corrected,phase2
2023,8,7.214121258633923,ADV,minimal_corrected,phase2
2023,9,9.201101928374657,ADV,minimal_corrected,phase2
2023,10,10.534304796599878,ADV,minimal_corrected,phase2
2023,11,9.638128861429832,ADV,minimal_corrected,phase2
2023,12,12.361282367447595,ADV,minimal_corrected,phase2
2024,1,0.8995502248875562,ADV,minimal_corrected,phase2
2024,2,1.488833746898263,ADV,minimal_corrected,phase2
2024,3,1.7488076311605725,ADV,minimal_corrected,phase2
2024,4,2.120141342756184,ADV,minimal_corrected,phase2
2024,5,0.984251968503937,ADV,minimal_corrected,phase2
2024,6,2.5056947608200453,ADV,minimal_corrected,phase2
2024,7,0.48661800486618,ADV,minimal_corrected,phase2
2024,8,1.858736059479554,ADV,minimal_corrected,phase2
2024,9,0.8264462809917356,ADV,minimal_corrected,phase2
2024,10,1.092896174863388,ADV,minimal_corrected,phase2
2024,11,0.9569377990430622,ADV,minimal_corrected,phase2
2024,12,1.293103448275862,ADV,minimal_corrected,phase2
2025,1,5.532114392873886,ADV,minimal_corrected,phase2
2025,2,4.931669637551991,ADV,minimal_corrected,phase2
2025,3,3.41130604288499,ADV,minimal_corrected,phase2
2025,4,5.22167487684729,ADV,minimal_corrected,phase2
2025,5,3.5678889990089195,ADV,minimal_corrected,phase2
2025,6,5.297679112008073,ADV,minimal_corrected,phase2
2025,7,3.0089628681177976,ADV,minimal_corrected,phase2
2025,8,3.195635229929852,ADV,minimal_corrected,phase2
2025,9,3.4848484848484853,ADV,minimal_corrected,phase2
2025,10,4.431736954967834,ADV,minimal_corrected,phase2
2025,11,4.193138500635324,ADV,minimal_corrected,phase2
2019,2,,PIV,minimal_corrected,phase2
