period,age_group,pathogen,environment,n_months,rho,p_value,q_period,q_age_panel,low_n,status
2019,1-3,HBOV,PM10,10,0.3619904402925107,0.3040046620233935,0.6550787393344795,0.5472083916421083,False,computed_exploratory
2019,1-3,HBOV,NO2,10,-0.5951368255656533,0.0695150101530112,0.3670504218751866,0.2085450304590336,False,computed_exploratory
2019,1-3,HBOV,SO2,10,0.1043023302537743,0.7743046543540669,0.9211427661583907,0.9081800222071438,False,computed_exploratory
2019,1-3,HBOV,O3,10,0.4110738898236986,0.2379418661675305,0.5948546654188264,0.4677746056977951,False,computed_exploratory
2019,1-3,HBOV,CO,10,0.0184062935741954,0.959749871061638,0.99537116513333,0.982064063995184,False,computed_exploratory
2019,1-3,HBOV,AQI,10,0.5460533760344654,0.1024788342557119,0.4387819196507574,0.2712675024415905,False,computed_exploratory
2019,4-12,FluA,windlevel,10,0.0452555728684665,0.9012059369093488,0.975828084551524,0.972588677305373,False,computed_exploratory
2019,4-12,FluA,temp,10,-0.7434844114105212,0.013711884904507,0.2119109485241996,0.1499948540829168,False,computed_exploratory
2019,4-12,FluA,humi,10,-0.1486968822821042,0.6818227248382321,0.9166032341131534,0.9145500735271463,False,computed_exploratory
2019,4-12,FluA,PM2.5,10,0.5883224472900647,0.0736060596698418,0.3749017961513988,0.332449680998961,False,computed_exploratory
2019,4-12,FluA,PM10,10,0.4978113015531316,0.1431419709458717,0.4693828677430339,0.4600991923260161,False,computed_exploratory
2019,4-12,FluA,NO2,10,0.7693447387639306,0.0092742209381247,0.19707719493515,0.1391133140718705,False,computed_exploratory
2019,4-12,FluA,SO2,10,0.5236716289065411,0.1202960751216219,0.4693828677430339,0.4511102817060821,False,computed_exploratory
2019,4-12,FluA,O3,10,-0.1099063912519901,0.7624629172199548,0.9211427661583907,0.9145500735271463,False,computed_exploratory
2019,4-12,FluA,CO,10,0.7952050661173402,0.0059612054667836,0.1885430842415409,0.1073016984021058,False,computed_exploratory
2019,4-12,FluA,AQI,10,0.1486968822821042,0.6818227248382321,0.9166032341131534,0.9145500735271463,False,computed_exploratory
2019,4-12,FluB,windlevel,10,-0.5030303030303029,0.1383336983944919,0.4693828677430339,0.4600991923260161,False,computed_exploratory
